ID	Seed	wetIndicatorThreshold	wetConfidenceThreshold	C1	addC1	P1	C2	P2	dryLevelThreshold	dryFlowAdjustment	Coastal Impacts: Upstream Buildings Impacted (#)	Coastal Impacts: Downstream Buildings Impacted (#)	Commercial Navigation: Ontario + Seaway + Montreal Transportation Costs ($)	Hydropower: Moses-Saunders + Niagara Energy Value ($)	Meadow Marsh: Area (ha)	Muskrat Lodge Viability (%)	Recreational Boating: Impact Costs ($)
227	2	7678.420353471939	83.65353164770374	87.117413700147	246.424425795684	0.2990277650125166	172.91791898751814	1.800916403492986	75.27920786647108	48.91031629115792	44546.09805084747	3830.915254237288	193900904.6101695	-2347295541.851839	-13812.058733333331	-0.504393220338983	22964559.02372881
228	2	9981.530559694256	164.1011535339102	86.50587274079112	91.71535631597293	0.1660448535736904	144.37243030067754	1.9362596863928012	76.41970160436287	43.07844754153157	48760.04457627118	3859.423728813559	191978978.4237288	-2348508714.162982	-14006.153644444445	-0.4920067796610169	23910429.86644068
229	2	7584.399703923036	132.61127585625982	100.14399497995514	239.66253362386288	0.214117537302458	214.52873815168172	1.9796571744411005	74.64678859919546	49.305738813455605	52567.57862711864	3862.661016949152	194382688.5762712	-2350774055.1497803	-13521.242911111112	-0.5057016949152542	18701765.34966102
230	2	7793.427703233731	153.947060834127	181.40416160861784	249.557094117733	1.1201552587056338	219.99649306435157	1.872169373160533	75.39302576134291	27.073388770195866	57741.84869491525	3873.016949152543	193706259.8983051	-2352692240.527104	-12307.461533333331	-0.4958118644067796	17079630.06576271
231	2	9356.93274731404	181.60666909770563	3.177789459710816	83.23589646479427	0.2238238234154267	204.4703910843995	1.5863627608833748	75.55780060393091	49.47977722857967	92361.58891525422	3941.084745762712	190948101.93220335	-2356866121.342118	-13476.10012222222	-0.4716915254237288	20685940.348305088
232	2	7693.423537887971	82.72985481487817	99.95636968465172	214.03379225976903	0.6380490927172665	80.40749255421449	1.914803504780341	75.25691057503151	49.00722723477584	46197.56427118645	3842.9491525423728	194302303.3898305	-2348162213.917662	-14504.523044444442	-0.5087508474576271	23256969.827457625
233	2	7453.174796199262	107.6120702451123	159.13086285837852	97.35120852649008	0.3549783338547637	154.93402352007897	1.9988547037131512	75.20678160833353	49.606440827998384	39282.97388135594	3825.457627118644	195680143.08474576	-2344202165.8962803	-14037.3196	-0.5237915254237289	27843918.180000003
234	2	5984.845710745091	24.995679663210453	5.522610878961736	86.36416351810146	0.5457195263486101	222.68875257813943	1.9927869671796696	76.11938762912047	49.54801242420463	52133.82062711864	3863.593220338983	191986240.0338983	-2350370877.171572	-14023.102977777777	-0.4981338983050847	21577492.44610169
235	2	5789.127610920399	86.78253432015849	86.85435454054536	14.639777090941632	0.3734046010933764	7.01015284255454	0.6429986510012902	76.13591063730253	49.670169834066506	45742.36554237288	3831.779661016949	192983941.18644068	-2347343080.0647564	-15040.68977777778	-0.5074728813559322	26313593.089491528
236	2	9148.84425011387	164.61571839925114	219.9859484637301	135.0129241838428	1.3771861807897567	195.8065285913739	1.8534999357295017	75.13406148810441	6.718067235484528	74224.12471186441	3941.338983050848	192481354.7457627	-2357310783.118726	-11116.050366666666	-0.5042694915254237	15242544.577288136
237	2	8852.39165199175	160.62066260044912	74.02634287438154	113.31745595930336	0.0438094557025098	188.6939862090382	1.9884032618693084	75.60510263032629	49.39661481267171	47738.34194915254	3857.372881355932	191946377.4237288	-2347712069.4928174	-14075.163811111111	-0.4788728813559322	24960161.18101695
238	2	8814.911642308403	84.42697400693446	80.44609975117041	16.615620746745385	0.2875519732381848	74.67380339118061	1.7101314533455154	75.73194971320333	49.95784377062506	49490.4343559322	3863.64406779661	191958217.88135597	-2348842032.7302165	-14655.067788888888	-0.5066593220338984	24826744.69220339
239	2	9980.297243800083	163.31274070628123	136.51887741493883	235.30990379360065	0.4980047877174813	9.65387943161732	1.3238530531115489	74.91299376869122	49.18265051188257	49488.98833898305	3854.237288135593	191971844.4237288	-2348177609.726188	-15243.840888888888	-0.5081491525423728	26595960.5359322
240	2	7369.878948959177	53.75504772781187	0.1419856523303666	88.637085951001	0.5584879353469282	297.3736023561004	1.6478708141129164	75.85214845168602	48.67630037797125	60156.38932203389	3886.4745762711855	191801109.16949156	-2353391758.842532	-12528.871411111111	-0.4960508474576271	17919872.981864408
241	2	7778.580196965155	162.73857448045334	147.26283626687098	191.09957937409624	0.64539712054281	129.61502465997592	1.9848059452631324	74.752420334279	49.90707569057635	52536.08571186441	3874.4745762711855	194146138.9661017	-2350260681.0490656	-14563.695166666668	-0.5087847457627119	21307016.54440678
242	2	5515.527886947026	223.8917052593414	1.35431141051113	103.10371041665512	1.050014739701806	147.8617382362616	1.8993957553869545	75.36027732672136	-14.906484060188909	113356.01011864407	4022.847457627119	191127823.7118644	-2362576182.410644	-9538.667422222225	-0.5194254237288135	16967264.618305083
243	2	7784.874892358205	94.52364543558184	86.74062304247519	246.1914935281295	0.3389485625996443	80.26797053671697	1.9456215985352372	75.76994878843614	48.61518032396408	44496.947118644064	3839.4406779661017	193761361.83050847	-2347263535.281898	-14560.144044444443	-0.5137677966101695	24454985.572711863
244	2	7672.700631174393	241.23576791721092	234.5933158766316	239.63503401913405	1.3256026798220355	174.13520327971702	1.9804471566555968	75.00642513011589	49.77418148766535	47542.68955932204	3823.0338983050847	194276416.20338985	-2348932353.497448	-14045.652655555554	-0.4956694915254238	21325093.77135593
