waterLevel,Month,buildingsImpacted,matchString
74.57,11,124.695,74.57_11
74.57,12,109.686,74.57_12
74.57,2,79.562,74.57_2
74.57,3,68.826,74.57_3
74.57,4,40.77,74.57_4
74.57,5,21.415,74.57_5
74.57,6,6.444,74.57_6
74.57,7,2.302,74.57_7
74.57,8,2.306,74.57_8
74.57,9,7.272,74.57_9
74.58,1,110.225,74.58_1
74.58,10,53.437,74.58_10
74.58,11,128.368,74.58_11
74.58,12,111.638,74.58_12
74.58,2,80.63,74.58_2
74.58,3,69.798,74.58_3
74.58,4,42.992,74.58_4
74.58,5,24.126,74.58_5
74.58,6,7.454,74.58_6
74.58,7,2.601,74.58_7
74.58,8,2.368,74.58_8
74.58,9,7.407,74.58_9
74.59,1,111.585,74.59_1
74.59,10,54.969,74.59_10
74.59,11,132.199,74.59_11
74.59,12,113.523,74.59_12
74.59,2,81.57,74.59_2
74.59,3,70.649,74.59_3
74.59,4,45.362,74.59_4
74.59,5,27.149,74.59_5
74.59,6,8.581,74.59_6
74.59,7,2.934,74.59_7
74.59,8,2.435,74.59_8
74.59,9,7.535,74.59_9
74.6,1,112.8,74.6_1
74.6,10,56.552,74.6_10
74.6,11,136.188,74.6_11
74.6,12,115.339,74.6_12
74.6,2,82.382,74.6_2
74.6,3,71.38,74.6_3
74.6,4,47.88,74.6_4
74.6,5,30.483,74.6_5
74.6,6,9.825,74.6_6
74.6,7,3.302,74.6_7
74.6,8,2.507,74.6_8
74.6,9,7.657,74.6_9
74.61,1,114.216,74.61_1
74.61,10,58.419,74.61_10
74.61,11,140.474,74.61_11
74.61,12,117.379,74.61_12
74.61,2,83.238,74.61_2
74.61,3,72.132,74.61_3
74.61,4,50.195,74.61_4
74.61,5,33.538,74.61_5
74.61,6,11.113,74.61_6
74.61,7,3.694,74.61_7
74.61,8,2.576,74.61_8
74.61,9,7.834,74.61_9
74.62,1,115.834,74.62_1
74.62,10,60.569,74.62_10
74.62,11,145.059,74.62_11
74.62,12,119.642,74.62_12
74.62,2,84.138,74.62_2
74.62,3,72.906,74.62_3
74.62,4,52.308,74.62_4
74.62,5,36.313,74.62_5
74.62,6,12.446,74.62_6
74.62,7,4.109,74.62_7
74.62,8,2.643,74.62_8
74.62,9,8.066,74.62_9
74.63,1,117.653,74.63_1
74.63,10,63.003,74.63_10
74.63,11,149.941,74.63_11
74.63,12,122.129,74.63_12
74.63,2,85.082,74.63_2
74.63,3,73.7,74.63_3
74.63,4,54.217,74.63_4
74.63,5,38.808,74.63_5
74.63,6,13.824,74.63_6
74.63,7,4.548,74.63_7
74.63,8,2.708,74.63_8
74.63,9,8.353,74.63_9
74.64,1,119.673,74.64_1
74.64,10,65.72,74.64_10
74.64,11,155.121,74.64_11
74.64,12,124.84,74.64_12
74.64,2,86.069,74.64_2
74.64,3,74.516,74.64_3
74.64,4,55.925,74.64_4
74.64,5,41.024,74.64_5
74.64,6,15.246,74.64_6
74.64,7,5.011,74.64_7
74.64,8,2.77,74.64_8
74.64,9,8.695,74.64_9
74.65,1,121.894,74.65_1
74.65,10,68.721,74.65_10
74.65,11,160.599,74.65_11
74.65,12,127.774,74.65_12
74.65,2,87.1,74.65_2
74.65,3,75.354,74.65_3
74.65,4,57.43,74.65_4
74.65,5,42.96,74.65_5
74.65,6,16.713,74.65_6
74.65,7,5.497,74.65_7
74.65,8,2.831,74.65_8
74.65,9,9.091,74.65_9
74.66,1,124.316,74.66_1
74.66,10,72.006,74.66_10
74.66,11,166.374,74.66_11
74.66,12,130.933,74.66_12
74.66,2,88.175,74.66_2
74.66,3,76.214,74.66_3
74.66,4,58.733,74.66_4
74.66,5,44.617,74.66_5
74.66,6,18.224,74.66_6
74.66,7,6.007,74.66_7
74.66,8,2.89,74.66_8
74.66,9,9.543,74.66_9
74.67,1,126.939,74.67_1
74.67,10,75.574,74.67_10
74.67,11,172.447,74.67_11
74.67,12,134.315,74.67_12
74.67,2,89.294,74.67_2
74.67,3,77.095,74.67_3
74.67,4,59.832,74.67_4
74.67,5,45.995,74.67_5
74.67,6,19.78,74.67_6
74.67,7,6.542,74.67_7
74.67,8,2.946,74.67_8
74.67,9,10.05,74.67_9
74.68,1,129.764,74.68_1
74.68,10,79.426,74.68_10
74.68,11,178.819,74.68_11
74.68,12,137.921,74.68_12
74.68,2,90.457,74.68_2
74.68,3,77.997,74.68_3
74.68,4,60.729,74.68_4
74.68,5,47.093,74.68_5
74.68,6,21.381,74.68_6
74.68,7,7.1,74.68_7
74.68,8,3,74.68_8
74.68,9,10.612,74.68_9
74.69,1,132.789,74.69_1
74.69,10,83.561,74.69_10
74.69,11,185.489,74.69_11
74.69,12,141.75,74.69_12
74.69,2,91.664,74.69_2
74.69,3,78.92,74.69_3
74.69,4,61.423,74.69_4
74.69,5,47.911,74.69_5
74.69,6,23.027,74.69_6
74.69,7,7.682,74.69_7
74.69,8,3.052,74.69_8
74.69,9,11.228,74.69_9
74.7,1,136.014,74.7_1
74.7,10,87.98,74.7_10
74.7,11,192.457,74.7_11
74.7,12,145.803,74.7_12
74.7,2,92.914,74.7_2
74.7,3,79.865,74.7_3
74.7,4,61.915,74.7_4
74.7,5,48.45,74.7_5
74.7,6,24.718,74.7_6
74.7,7,8.287,74.7_7
74.7,8,3.101,74.7_8
74.7,9,11.899,74.7_9
74.71,1,139.374,74.71_1
74.71,10,92.152,74.71_10
74.71,11,199.336,74.71_11
74.71,12,150.001,74.71_12
74.71,2,94.261,74.71_2
74.71,3,80.99,74.71_3
74.71,4,62.6,74.71_4
74.71,5,48.974,74.71_5
74.71,6,26.253,74.71_6
74.71,7,8.84,74.71_7
74.71,8,3.156,74.71_8
74.71,9,12.527,74.71_9
74.72,1,142.867,74.72_1
74.72,10,96.079,74.72_10
74.72,11,206.129,74.72_11
74.72,12,154.347,74.72_12
74.72,2,95.703,74.72_2
74.72,3,82.296,74.72_3
74.72,4,63.48,74.72_4
74.72,5,49.483,74.72_5
74.72,6,27.633,74.72_6
